content,content_stemmed,label_roberta,label_rating,label_leksikon,label
Setelah update buat transfer ke bank lain BTN ga bisa,"['update', 'transfer', 'bank', 'btn', 'tidak']",Negative,Negative,Negative,Negative
Untuk penghapusan inbox qris ini bagai mana? .tolong di bantu,"['hapus', 'inbox', 'qris', 'tolong', 'bantu']",Negative,Positive,Positive,Positive
Tidak bisa dibuka kenapa..?,"['tidak', 'buka']",Negative,Positive,Negative,Negative
Sementara ok,['ok'],Negative,Positive,Positive,Positive
Verifikasi muka di apk lain jadi cuma di sini yang gak jadi padahal dulu gak ada bikin susah user aja,"['verifikasi', 'muka', 'aplikasi', 'tidak', 'tidak', 'bikin', 'susah', 'user']",Negative,Negative,Negative,Negative
tilong d bantu,"['tilong', 'bantu']",Negative,Positive,Positive,Positive
Ok,['ok'],Negative,Positive,Positive,Positive
Ui sangat user friendly,"['ui', 'sangat', 'user', 'friendly']",Negative,Positive,Positive,Positive
perbaiki dulu ya min. abis update gak bisa dibuka. udah semua cara dipake. aksesibilitas udah off masih aja stuck.,"['baik', 'ya', 'min', 'habis', 'update', 'tidak', 'buka', 'pakai', 'aksesibilitas', 'off', 'masih', 'stuck']",Negative,Negative,Positive,Negative
Sangat mudah digunakan,"['sangat', 'mudah']",Negative,Positive,Positive,Positive
Mntap,['mntap'],Negative,Positive,Positive,Positive
"Serius nanya ini bca mobile gak bisa dipake lagi??? Kok masuk gak bisa padahal pulsa tersedia ,,,","['serius', 'bca', 'mobile', 'tidak', 'pakai', 'masuk', 'tidak', 'pulsa', 'sedia']",Negative,Negative,Negative,Negative
top up pertama 100 ribu tapi yang masuk di saldo cuma 50 ribu. itu admin yang 50 ribu nya ?? boleh tolong di jelaskan!,"['top', 'up', 'ribu', 'masuk', 'saldo', 'ribu', 'admin', 'ribu', 'tolong']",Negative,Negative,Positive,Negative
setengah jam di video call gapernah diangkat,"['jam', 'video', 'call', 'tidak', 'angkat']",Negative,Positive,Negative,Negative
Bagus,['bagus'],Positive,Positive,Positive,Positive
Mesin atm bca sangat jauh di wilayah saya mohon agar di sediakan untuk wilayah yang belum ada mesin atmnya. Makasih,"['mesin', 'atm', 'bca', 'sangat', 'wilayah', 'mohon', 'sedia', 'wilayah', 'belum', 'mesin', 'atmnya', 'terima', 'kasih']",Negative,Negative,Positive,Negative
Hallo bca mohon bantuan nya agar saya bisa mengecek mutasi saya di bca karna setiap x saya ingin melihat mutasi lampu indikator selalu biru tidak hijau mohon kasi solusi,"['halo', 'bca', 'mohon', 'bantu', 'ecek', 'mutasi', 'bca', 'kali', 'mutasi', 'lampu', 'indikator', 'biru', 'tidak', 'hijau', 'mohon', 'kasih', 'solusi']",Negative,Positive,Positive,Positive
Semakin ok,['ok'],Negative,Positive,Positive,Positive
Eror g bisa login,"['eror', 'tidak', 'login']",Negative,Positive,Negative,Negative
ok,['ok'],Negative,Positive,Positive,Positive
Heran padahal baru sebulan udah aman tiba-tiba logout kumat lagi hadeh maana setiap mau verifikasi sendiri selalu gagal pulsa kepotong iya verifikasi berhasil gagal,"['heran', 'bulan', 'aman', 'logout', 'kumat', 'hadeh', 'maana', 'verifikasi', 'gagal', 'pulsa', 'potong', 'iya', 'verifikasi', 'hasil', 'gagal']",Negative,Negative,Negative,Negative
Padahal saya cuma ngeluarin kartu sim ke hp lain pas kartu nya balik lagi malah verifikasi ulang lgi otomatis harus isi pulsa lagi buat ngirim sms. Nyusahin bener asli dah,"['keluar', 'kartu', 'sim', 'hp', 'pas', 'kartu', 'verifikasi', 'ulang', 'otomatis', 'isi', 'pulsa', 'kirim', 'sms', 'susah', 'asli']",Negative,Negative,Negative,Negative
Ok,['ok'],Negative,Positive,Positive,Positive
pelayanannya jelekkkkk.! kecewa berat sama bca di mall margocity.! orang nnya malah di cuekin belum selesai gw tanya udah pindah ke orang lain. begitukah pelayanannya.?,"['layan', 'jelekkkkk', 'kecewa', 'berat', 'bca', 'mall', 'margocity', 'orang', 'nnya', 'cuekin', 'belum', 'selesai', 'gue', 'pindah', 'orang', 'layan']",Negative,Negative,Negative,Negative
Baru kali ini saya mau cek saldo disuruh balik ke menu utama kemudian setelah registrasi di suruh ke ATM buat registrasi ulang. Ini gimana sih solusinya. Kok jadi belibet gitu,"['kali', 'cek', 'saldo', 'suruh', 'menu', 'utama', 'registrasi', 'suruh', 'atm', 'registrasi', 'ulang', 'sih', 'solusi', 'belibet']",Negative,Positive,Negative,Negative
Masa bisa di buka tp gak bisa transaksi aneh banget buat apa klo cuma bisa liat saldo doang mah malah di suruh datang ke bca nya langsung gimana ini,"['buka', 'tidak', 'transaksi', 'aneh', 'banget', 'lihat', 'saldo', 'doang', 'mah', 'suruh', 'bca', 'langsung']",Negative,Negative,Positive,Negative
Apalagi yang di update min mau tf on nya lama,"['update', 'min', 'tf', 'on']",Negative,Negative,Positive,Negative
Memuadahkan transaksi pembayaran,"['memuadahkan', 'transaksi', 'bayar']",Negative,Positive,Positive,Positive
Sangat baik💓,"['sangat', 'baik']",Negative,Positive,Positive,Positive
Mantap,['mantap'],Positive,Positive,Positive,Positive
Kenapaa lampunya warna merah trusss,"['lampu', 'warna', 'merah']",Negative,Positive,Positive,Positive
"Huaaa beli pulsa lewat bca mobile, saldo kepotong tapi pulsa nya ga masuk😭","['huaaa', 'beli', 'pulsa', 'bca', 'mobile', 'saldo', 'potong', 'pulsa', 'tidak', 'masuk']",Negative,Negative,Negative,Negative
"Uang 260 ribu gak masuk masuk bos ke Rekeningnya , transaksi Qris gagal di lazada, gimana ini tunggu ampe 5 hari belum masuk juga","['uang', 'ribu', 'tidak', 'masuk', 'masuk', 'bos', 'rekening', 'transaksi', 'qris', 'gagal', 'lazada', 'tunggu', 'belum', 'masuk']",Negative,Negative,Negative,Negative
"udah enak, simpel dan ringkas. cuman verifikasinya kalo dibuat kayak MyBCA (gausah kirim sms) cukup pake kode otp bakalan lebih ciamik, ditunggu deh next improvementnya.","['enak', 'simpel', 'ringkas', 'cuman', 'verifikasi', 'kayak', 'mybca', 'tidak', 'kirim', 'sms', 'pakai', 'kode', 'otp', 'ciamik', 'tunggu', 'deh', 'next', 'improvementnya']",Negative,Positive,Negative,Negative
Mantul,['mantul'],Negative,Positive,Positive,Positive
Respon..,['respon'],Negative,Positive,Positive,Positive
Sangat membantu kelancaran transaksi banget.,"['sangat', 'bantu', 'lancar', 'transaksi', 'banget']",Negative,Positive,Positive,Positive
Sangat membantu,"['sangat', 'bantu']",Negative,Positive,Positive,Positive
